Algorithm,Parameter,Value
Swimmer-v4,total_timesteps,1800000
Swimmer-v4,gae_lambda,0.98
Swimmer-v4,gamma,0.99
Swimmer-v4,learning_rate,0.003
Swimmer-v4,n_envs,4
Swimmer-v4,n_steps,32
Swimmer-v4,normalize_advantage,true
Hopper-v4,n_envs,8
Hopper-v4,total_timesteps,1500000.0
Hopper-v4,n_steps,32
Hopper-v4,learning_rate,0.002
Acrobot-v1,ent_coef,0.0
Acrobot-v1,n_envs,8
Acrobot-v1,total_timesteps,200000.0
Acrobot-v1,normalize_advantage,true
CartPole-v1,ent_coef,0.0
CartPole-v1,n_envs,4
CartPole-v1,total_timesteps,300000.0
