Algorithm,Parameter,Value
Swimmer-v4,batch_size,256
Swimmer-v4,gae_lambda,0.98
Swimmer-v4,gamma,0.9999
Swimmer-v4,learning_rate,0.0006
Swimmer-v4,n_envs,8
Swimmer-v4,n_steps,1024
Swimmer-v4,total_timesteps,1500000.0
Swimmer-v4,normalize_advantage,true
Swimmer-v4,n_epochs,10
Swimmer-v4,max_grad_norm,0.5
Hopper-v4,n_envs,8
Hopper-v4,total_timesteps,1200000.0
Hopper-v4,normalize_advantage,true
Hopper-v4,gamma,0.99
Hopper-v4,gae_lambda,0.95
Hopper-v4,batch_size,128
Hopper-v4,n_epochs,10
Hopper-v4,learning_rate,0.0003
CartPole-v1,batch_size,256
CartPole-v1,clip_range,0.2
CartPole-v1,ent_coef,0.0
CartPole-v1,gae_lambda,0.8
CartPole-v1,gamma,0.98
CartPole-v1,learning_rate,0.001
CartPole-v1,n_envs,8
CartPole-v1,n_epochs,20
CartPole-v1,n_steps,32
CartPole-v1,total_timesteps,50000.0
Acrobot-v1,ent_coef,0.0
Acrobot-v1,gae_lambda,0.94
Acrobot-v1,gamma,0.99
Acrobot-v1,n_envs,8
Acrobot-v1,n_epochs,4
Acrobot-v1,n_steps,256
Acrobot-v1,total_timesteps,200000.0
Acrobot-v1,normalize_advantage,true
